Genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,combrank
RRAD,49.00394096,1.13831988,0.150070962,4.84E-15,3.87E-14,3.87E-14
JPH4,14.34199324,0.741702919,0.097048889,4.76E-15,3.81E-14,3.81E-14
ZNF577,193.0882463,0.590310773,0.076811221,4.73E-15,3.79E-14,3.79E-14
HMHA1,758.371445,0.590128746,0.076529036,3.80E-15,3.53E-14,3.53E-14
NLRP3,80.17137356,0.62993537,0.081929134,4.24E-15,3.41E-14,3.41E-14
PLEKHH2,154.6525685,0.785265372,0.10240532,3.67E-15,3.10E-14,3.10E-14
PLA2G2A,244.7680869,0.874476791,0.208676166,3.72E-15,3.00E-14,3.00E-14
FAM13C,69.47751766,0.731546166,0.095657478,4.57E-15,2.96E-14,2.96E-14
CADM3,82.16407348,1.205880646,0.158269201,3.61E-15,2.92E-14,2.92E-14
ARID5A,878.8708065,0.64876363,0.084639969,4.05E-15,2.75E-14,2.75E-14
NKAPL,6.576973498,0.741662596,0.096323977,3.06E-15,2.50E-14,2.50E-14
CIDEA,53.90216448,1.85108341,0.242528593,2.97E-15,2.43E-14,2.43E-14
MLPH,6705.365305,0.91054185,0.119163762,2.91E-15,2.38E-14,2.38E-14
PDE7B,63.95121225,0.593743821,0.076580298,2.77E-15,2.27E-14,2.27E-14
SORBS1,1067.664436,0.670542458,0.086725326,2.71E-15,1.80E-14,1.80E-14
ZC3H12A,359.2777298,0.593626931,0.076256162,2.10E-15,1.75E-14,1.75E-14
ANKK1,13.10236152,0.954436028,0.123373843,1.70E-15,1.51E-14,1.51E-14
FSTL3,597.9489988,0.65220275,0.083653458,1.69E-15,1.42E-14,1.42E-14
PCSK5,90.9442463,0.717813816,0.092144588,1.58E-15,1.39E-14,1.39E-14
AK5,238.0203248,1.203528129,0.15561787,1.48E-15,1.25E-14,1.25E-14
PNMA2,140.7377711,0.945503332,0.121768918,1.41E-15,1.24E-14,1.24E-14
PLSCR4,382.9364984,0.580998907,0.074013669,1.29E-15,1.09E-14,1.09E-14
SOCS3,1419.021586,0.703261509,0.089811786,1.12E-15,8.97E-15,8.97E-15
HIGD1B,19.52866667,0.690650797,0.087941182,9.81E-16,8.36E-15,8.36E-15
NNAT,32.70856889,1.161042918,0.150311576,1.16E-15,7.95E-15,7.95E-15
CHRDL1,329.7644328,1.192129973,0.152185958,6.61E-16,7.81E-15,7.81E-15
ACADS,381.4882468,0.676305889,0.085813845,7.75E-16,6.68E-15,6.68E-15
GAS6,2047.385867,0.631932094,0.080296141,7.57E-16,6.55E-15,6.55E-15
CSDC2,48.00381006,0.978678703,0.124776986,7.26E-16,6.31E-15,6.31E-15
A1BG,199.5066112,0.710082369,0.089980073,7.10E-16,6.18E-15,6.18E-15
LTBP2,3827.222716,0.606804321,0.076645344,7.06E-16,6.14E-15,6.14E-15
ELN,2474.58165,1.02910632,0.13112869,6.10E-16,5.35E-15,5.35E-15
