Genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,combrank
PILRB,1221.954178,0.774507759,0.077749025,4.70E-24,9.72E-23,9.72E-23
ZFP36L2,4334.197879,0.683405504,0.068452616,4.59E-24,9.53E-23,9.53E-23
SGK223,854.8732098,0.862362925,0.086831227,4.51E-24,9.36E-23,9.36E-23
CCDC130,412.9281859,0.590045454,0.058810055,3.24E-24,6.82E-23,6.82E-23
OXTR,307.8712295,1.388824414,0.139461371,3.11E-24,6.55E-23,6.55E-23
PNPLA7,269.7502362,0.951804072,0.095286582,2.85E-24,6.01E-23,6.01E-23
CACNA1G,19.82168766,1.389349444,0.139372882,2.83E-24,6.00E-23,6.00E-23
TNS1,3078.423884,0.648111672,0.0645535,2.35E-24,5.01E-23,5.01E-23
MZF1,338.6406853,0.704347175,0.069893576,1.70E-24,4.38E-23,4.38E-23
LTBP3,2615.571558,0.591955908,0.058592585,1.69E-24,3.66E-23,3.66E-23
C1QTNF4,7.004707881,1.43239845,0.142938091,1.50E-24,3.45E-23,3.45E-23
GSN,8644.575145,0.625871782,0.062365729,1.20E-24,2.64E-23,2.64E-23
AASS,200.894569,0.754795815,0.074701751,1.19E-24,2.63E-23,2.63E-23
SLC22A11,2.171307465,2.041862016,0.202530498,8.14E-25,1.80E-23,1.80E-23
KLF15,42.64200312,1.229427971,0.121927259,7.53E-25,1.68E-23,1.68E-23
CYR61,4002.633464,0.967402188,0.095464903,6.74E-25,1.51E-23,1.51E-23
ACACB,573.721271,0.982311245,0.096938792,6.08E-25,1.38E-23,1.38E-23
MYOM1,40.50373195,0.798467334,0.097431788,6.05E-25,1.37E-23,1.37E-23
FLT4,274.3507182,0.667501766,0.065399092,4.78E-25,1.30E-23,1.30E-23
GPRASP1,135.557394,0.827653072,0.081098672,3.75E-25,8.99E-24,8.99E-24
ROBO3,66.65699815,0.96915695,0.095145976,3.87E-25,8.88E-24,8.88E-24
GIMAP1,116.2462812,0.89730845,0.088031608,3.91E-25,8.40E-24,8.40E-24
CYTL1,20.91578335,1.09030897,0.107068989,3.60E-25,6.66E-24,6.66E-24
ADAMTS10,138.1390241,0.905315479,0.088430342,2.43E-25,5.67E-24,5.67E-24
PRCD,5.969972186,0.944072872,0.092204094,2.14E-25,5.47E-24,5.47E-24
CLDN11,165.0199572,1.161663654,0.11349007,2.02E-25,4.97E-24,4.97E-24
EGFL8,116.191761,1.035731611,0.100423999,9.38E-26,2.36E-24,2.36E-24
TNFRSF14,905.5582108,0.701638745,0.067676931,8.08E-26,1.96E-24,1.96E-24
ESAM,627.3932472,0.604216615,0.05797008,6.15E-26,1.73E-24,1.73E-24
APOLD1,672.751865,0.839097488,0.080852686,6.21E-26,1.52E-24,1.52E-24
ROBO4,415.1732118,0.656830118,0.063149916,4.99E-26,1.23E-24,1.23E-24
CH25H,54.86256186,1.08074627,0.104050985,4.42E-26,1.10E-24,1.10E-24
WDR86,38.45762121,1.290967593,0.124515941,4.79E-26,9.65E-25,9.65E-25
COL16A1,1914.334485,0.879569048,0.084576328,3.40E-26,8.61E-25,8.61E-25
LMOD1,529.6658805,0.944533526,0.090577754,3.25E-26,8.25E-25,8.25E-25
SHE,168.7258818,0.803761104,0.076814792,2.65E-26,7.09E-25,7.09E-25
SLC25A29,1039.297564,0.793800338,0.075916083,2.32E-26,5.99E-25,5.99E-25
PDE1A,59.58663249,0.904926061,0.086573505,2.62E-26,5.44E-25,5.44E-25
VAMP1,223.5616763,0.722831996,0.068504198,1.15E-26,3.63E-25,3.63E-25
IGF1,455.3896801,1.194943874,0.113465073,8.47E-27,2.28E-25,2.28E-25
KCNIP2,77.89938812,1.428801242,0.135665616,8.26E-27,1.81E-25,1.81E-25
JAM2,156.2708723,0.820862177,0.077329448,5.12E-27,1.40E-25,1.40E-25
NOXA1,187.7492528,1.101016725,0.103969728,5.06E-27,1.31E-25,1.31E-25
LCN6,1.545109356,2.732258407,0.257696311,3.65E-27,1.02E-25,1.02E-25
LEAP2,5.514134814,1.029801281,0.097069736,3.50E-27,9.79E-26,9.79E-26
UBXN11,513.9510469,0.78274504,0.0735076,3.38E-27,9.66E-26,9.66E-26
TXNIP,10933.94901,0.736191774,0.069153487,3.01E-27,8.52E-26,8.52E-26
AQP1,3327.547491,0.900468509,0.084625302,2.85E-27,7.24E-26,7.24E-26
SH2D3C,336.874166,0.692500512,0.064490701,1.63E-27,4.73E-26,4.73E-26
ATG16L2,422.3619097,0.899963721,0.083943916,1.47E-27,4.27E-26,4.27E-26
TMEM204,320.0038532,0.746869166,0.069357888,1.13E-27,3.96E-26,3.96E-26
LDB2,254.6115233,0.714725983,0.066317074,1.04E-27,3.67E-26,3.67E-26
TIE1,519.659408,0.703346348,0.065322271,1.15E-27,3.39E-26,3.39E-26
HOOK2,780.1783517,0.636954946,0.059012553,9.62E-28,3.28E-26,3.28E-26
DLL1,136.8992059,0.900673218,0.083726916,1.01E-27,3.02E-26,3.02E-26
CAPN11,15.88233841,0.900612122,0.123266286,9.68E-28,2.90E-26,2.90E-26
LEPR,226.4029895,0.982736434,0.091014489,5.99E-28,2.51E-26,2.51E-26
ISLR2,38.75821088,0.963458197,0.089366098,7.17E-28,1.78E-26,1.78E-26
GADD45G,292.0608963,1.187999116,0.109752708,3.84E-28,1.65E-26,1.65E-26
TTLL3,541.1281628,0.740484307,0.06820983,4.29E-28,1.34E-26,1.34E-26
PTN,497.4443859,1.300391346,0.14193552,3.94E-28,1.27E-26,1.27E-26
CLDN15,121.8495044,0.711930234,0.065456339,3.44E-28,1.11E-26,1.11E-26
TMEM119,924.9668473,0.913600075,0.084185875,3.43E-28,1.11E-26,1.11E-26
RHOB,9838.793949,0.811597632,0.074932248,3.12E-28,1.01E-26,1.01E-26
MYH11,1609.928382,1.480523053,0.136485258,2.74E-28,8.49E-27,8.49E-27
CYGB,314.8797745,0.825872933,0.075675081,1.94E-28,7.67E-27,7.67E-27
LYL1,84.42137983,0.914995502,0.084059427,2.24E-28,7.40E-27,7.40E-27
STARD8,185.6625501,0.648965242,0.059223852,1.60E-28,5.04E-27,5.04E-27
ATF3,948.4051489,1.24563065,0.113693506,8.29E-29,2.42E-27,2.42E-27
LENG8,2320.920588,0.705829391,0.063996877,6.38E-29,2.24E-27,2.24E-27
SPARCL1,5492.837845,0.851808529,0.077642307,5.70E-29,2.03E-27,2.03E-27
GNG11,501.4940397,0.752427806,0.067993128,4.08E-29,1.47E-27,1.47E-27
SLC25A34,16.90994944,0.890148162,0.080380489,2.95E-29,1.08E-27,1.08E-27
MRGPRF,117.5725749,1.036466377,0.093311052,1.84E-29,6.39E-28,6.39E-28
ZNF219,461.9813248,0.847201497,0.076116337,1.55E-29,5.81E-28,5.81E-28
JMJD7.PLA2G4B,403.0781612,0.680649869,0.060854377,1.21E-29,4.66E-28,4.66E-28
VILL,155.3437156,0.902253147,0.080469898,6.48E-30,2.49E-28,2.49E-28
ANKMY1,270.684171,0.646758699,0.05730966,4.36E-30,2.03E-28,2.03E-28
LGI4,52.98973107,1.017391745,0.090617965,4.87E-30,1.90E-28,1.90E-28
APBB3,272.825542,0.741237144,0.065657157,3.34E-30,1.80E-28,1.80E-28
SHANK3,503.288776,0.70842374,0.062588916,2.46E-30,1.00E-28,1.00E-28
IDUA,271.612866,0.891249785,0.078616588,1.55E-30,7.47E-29,7.47E-29
WDR27,123.8162913,0.755616578,0.066458459,1.30E-30,5.33E-29,5.33E-29
AOC3,827.9981756,1.078019957,0.094924531,1.07E-30,4.45E-29,4.45E-29
IL11RA,174.8354479,0.774378222,0.067976793,9.80E-31,4.07E-29,4.07E-29
TSPAN7,268.1134576,1.130423209,0.099485654,8.90E-31,3.72E-29,3.72E-29
ANGPTL1,56.78571176,1.304540016,0.115044852,9.16E-31,3.09E-29,3.09E-29
COL14A1,2097.896044,1.299556713,0.113129279,2.02E-31,8.98E-30,8.98E-30
CRHBP,6.890937163,1.286528914,0.11163574,1.32E-31,6.48E-30,6.48E-30
TNFSF12,516.8731607,0.622070831,0.05372551,1.33E-31,6.04E-30,6.04E-30
FOS,4944.77449,1.435146408,0.124152979,8.95E-32,4.16E-30,4.16E-30
GEM,619.7096961,1.025338243,0.088614972,8.87E-32,4.13E-30,4.13E-30
THSD1,110.436469,0.707909365,0.060941199,8.60E-32,4.02E-30,4.02E-30
GIGYF1,1336.878942,0.644828823,0.055126534,2.79E-32,1.37E-30,1.37E-30
HIC1,174.6400293,0.908091018,0.077703074,2.71E-32,1.33E-30,1.33E-30
CSAD,559.9090347,1.037285496,0.088305695,1.18E-32,6.05E-31,6.05E-31
LIPE,396.0660198,1.441485039,0.122603191,8.74E-33,4.54E-31,4.54E-31
TCEAL7,31.35484181,1.018793148,0.086395873,6.93E-33,3.70E-31,3.70E-31
LRRN4CL,47.4571836,1.356053983,0.114951679,5.55E-33,2.98E-31,2.98E-31
PDK4,1039.59808,1.4508781,0.12271842,4.02E-33,2.17E-31,2.17E-31
MYO15B,549.044335,1.109220427,0.093777742,4.03E-33,2.17E-31,2.17E-31
FOSB,1277.874087,1.830534474,0.154201084,2.23E-33,1.23E-31,1.23E-31
PHYHIP,27.73832386,0.85418424,0.108758346,2.03E-33,1.13E-31,1.13E-31
SCN4B,173.4079484,1.154357222,0.096534336,8.82E-34,4.99E-32,4.99E-32
PRX,159.4534068,0.910714009,0.075896937,6.43E-34,3.45E-32,3.45E-32
RHCG,35.12747633,0.759905187,0.269911661,5.43E-34,3.13E-32,3.13E-32
LHFP,674.5997606,0.810544541,0.067547922,5.28E-34,3.06E-32,3.06E-32
MMRN2,725.8572497,0.819840438,0.067866396,2.69E-34,1.59E-32,1.59E-32
TDRD10,12.34286193,1.453544327,0.120619835,2.42E-34,1.52E-32,1.52E-32
RDH5,52.53678433,1.444631924,0.119868641,2.52E-34,1.50E-32,1.50E-32
SLC27A1,769.9220815,0.701492226,0.057675032,1.08E-34,6.55E-33,6.55E-33
DUSP1,3166.105205,1.199008223,0.098054648,2.85E-35,1.82E-33,1.82E-33
MEG3,86.1991584,1.360841339,0.110665287,2.37E-35,1.54E-33,1.54E-33
FXYD1,38.05706536,1.917691816,0.156642842,2.45E-35,1.29E-33,1.29E-33
CBX7,690.4564938,0.850835715,0.068968569,1.10E-35,8.42E-34,8.42E-34
EGR3,623.6267123,1.549888874,0.125803584,9.43E-36,7.30E-34,7.30E-34
LTC4S,29.80600342,1.428043726,0.115959822,9.62E-36,5.36E-34,5.36E-34
IER2,3117.459139,0.964884694,0.078064086,7.34E-36,5.16E-34,5.16E-34
PDE2A,163.51149,1.120186503,0.090356581,4.07E-36,2.92E-34,2.92E-34
SPRY1,698.8832412,0.969323355,0.078074887,3.70E-36,2.68E-34,2.68E-34
MAB21L1,24.68032559,1.3673105,0.110270967,3.66E-36,2.15E-34,2.15E-34
FAM193B,671.7838593,0.710083103,0.056952187,2.75E-36,2.03E-34,2.03E-34
S1PR1,501.3347051,0.977319831,0.078573183,2.67E-36,1.98E-34,1.98E-34
MUM1,851.4565921,0.592184276,0.047287439,2.04E-36,1.77E-34,1.77E-34
SCARF1,171.3501952,0.716719997,0.057368158,1.79E-36,1.36E-34,1.36E-34
KIF17,25.13606158,0.939687196,0.075331085,1.76E-36,1.09E-34,1.09E-34
PNPLA2,2343.467764,0.783155493,0.062541475,1.11E-36,8.60E-35,8.60E-35
CCDC116,2.589908379,0.803373073,0.063939872,4.93E-37,3.94E-35,3.94E-35
JUN,4501.506579,0.987241265,0.07829104,2.09E-37,1.91E-35,1.91E-35
INMT,87.85948508,1.375487057,0.10852751,1.88E-37,1.58E-35,1.58E-35
BTNL9,128.5108976,1.44880769,0.114519081,1.74E-37,1.47E-35,1.47E-35
TNXB,631.2815739,1.495954124,0.117305347,4.05E-38,4.13E-36,4.13E-36
PLAC9,91.76638133,1.566484042,0.122716081,3.38E-38,3.04E-36,3.04E-36
ZCCHC24,849.5296257,0.890042704,0.068630022,3.29E-39,3.32E-37,3.32E-37
TMEM88,31.5484617,1.132330118,0.087382598,3.04E-39,3.11E-37,3.11E-37
NR4A1,1935.106974,1.525171824,0.117724051,2.93E-39,3.02E-37,3.02E-37
ITGA7,272.5257344,1.345466253,0.102043341,1.45E-40,2.38E-38,2.38E-38
ABCA10,24.56088932,1.742309781,0.132375368,1.96E-40,2.38E-38,2.38E-38
MMP23B,72.99555867,1.493040646,0.11346969,2.03E-40,2.02E-38,2.02E-38
MFAP4,1127.669524,1.481067319,0.112221403,1.22E-40,1.52E-38,1.52E-38
ZFP36,3088.683912,1.250717594,0.094471821,6.70E-41,7.53E-39,7.53E-39
EGR1,4815.225879,1.44842886,0.109047782,3.97E-41,5.68E-39,5.68E-39
NOTCH4,473.7160452,0.828094088,0.060501113,2.51E-43,4.18E-41,4.18E-41
D2HGDH,418.2203288,1.070122086,0.077223265,1.58E-44,2.97E-42,2.97E-42
PER1,754.4459634,1.170784059,0.084486215,1.42E-44,2.71E-42,2.71E-42
SDPR,204.9094197,1.654912488,0.118877818,6.27E-45,1.32E-42,1.32E-42
CSRNP1,853.3638617,0.903686244,0.06484503,6.62E-45,1.32E-42,1.32E-42
GRASP,111.5963163,1.150185045,0.082297579,3.24E-45,6.84E-43,6.84E-43
ATOH8,58.00349274,1.671958951,0.119566281,2.57E-45,5.50E-43,5.50E-43
NRIP2,73.04783482,0.908615584,0.064798326,2.01E-45,4.36E-43,4.36E-43
ADCY4,169.2452232,1.118990044,0.07912304,3.02E-46,7.50E-44,7.50E-44
JUNB,3190.808948,1.226571713,0.085094505,4.97E-48,1.53E-45,1.53E-45
CLDN5,236.3903199,1.598664969,0.110050451,3.71E-49,1.38E-46,1.38E-46
GPR146,102.4897468,1.033400824,0.069950948,3.48E-50,1.44E-47,1.44E-47
PEAR1,139.2640001,1.120871913,0.075792633,2.66E-50,1.13E-47,1.13E-47
KLF2,609.9782466,1.236252437,0.0818836,2.36E-52,1.45E-49,1.45E-49
KANK3,97.12252823,1.223237001,0.079499352,2.83E-54,2.10E-51,2.10E-51
LTBP4,928.1379057,1.076387622,0.069098918,1.62E-55,1.43E-52,1.43E-52
SHROOM1,1154.529999,2.282249071,0.143248741,5.53E-58,7.10E-55,7.10E-55
BTG2,5627.27534,1.432272378,0.089851373,4.55E-58,6.42E-55,6.42E-55
RAPGEF3,329.1861205,1.333113723,0.081194991,1.76E-61,3.12E-58,3.12E-58
USHBP1,42.53508258,1.466145516,0.086801443,6.92E-65,1.63E-61,1.63E-61
GDF9,74.42873987,2.595437646,0.144418018,5.90E-82,3.35E-78,3.35E-78
CDH1,10707.14629,-2.060734112,0.088300097,1.71E-120,2.41E-116,-2.41E-116
A2ML1,211.2004398,-4.115893891,0.288703543,1.61E-72,7.56E-69,-7.56E-69
MSLN,351.3669282,-5.243839157,0.284212692,2.57E-72,1.09E-68,-1.09E-68
LRP8,202.5937322,-1.734770996,0.101951188,2.42E-66,6.84E-63,-6.84E-63
SHCBP1,252.5395142,-1.334236245,0.081294065,8.47E-62,2.05E-58,-2.05E-58
PSMD14,1475.377203,-0.603732881,0.037441604,4.49E-59,7.04E-56,-7.04E-56
EN1,311.3491011,-2.729386307,0.188700811,1.87E-57,2.20E-54,-2.20E-54
MMP1,716.6184964,-2.567131036,0.189366381,1.80E-56,2.27E-53,-2.27E-53
MCM10,298.9743389,-1.651764196,0.10603182,4.14E-56,4.99E-53,-4.99E-53
VPS35,3175.964309,-0.691761164,0.044071423,5.30E-56,4.99E-53,-4.99E-53
PSMD12,1236.016641,-0.862404235,0.0558404,9.85E-55,8.18E-52,-8.18E-52
CSE1L,3498.716546,-0.764813529,0.050047228,2.78E-54,2.10E-51,-2.10E-51
CCNE1,194.9666296,-2.024183368,0.132788871,5.36E-54,3.79E-51,-3.79E-51
HORMAD1,62.29039199,-5.559528448,0.43156019,1.16E-53,7.77E-51,-7.77E-51
FZD9,37.52189911,-2.728552268,0.208299415,4.22E-53,2.17E-50,-2.17E-50
CENPN,368.0988605,-1.075475078,0.071379439,2.06E-52,1.45E-49,-1.45E-49
KPNA2,3511.733955,-1.093504042,0.072652533,3.37E-52,2.10E-49,-2.10E-49
AURKA,571.5602783,-1.294816401,0.086325368,4.31E-52,2.34E-49,-2.34E-49
GMPS,1670.735402,-0.772016207,0.051460897,1.05E-51,5.16E-49,-5.16E-49
PXDNL,107.4555423,-2.735700969,0.176818922,1.18E-51,5.97E-49,-5.97E-49
AARS,3270.976582,-0.758797894,0.05102105,1.88E-51,8.17E-49,-8.17E-49
C16orf87,122.4392492,-0.802459027,0.053953383,6.91E-51,3.40E-48,-3.40E-48
RFWD3,906.3893652,-0.758352912,0.051467548,5.89E-50,2.11E-47,-2.11E-47
RCOR2,121.9386502,-0.669056622,0.140106421,1.89E-49,7.33E-47,-7.33E-47
PSMD7,1673.97401,-0.662838151,0.045114642,1.47E-49,7.57E-47,-7.57E-47
DCAF13,1515.005659,-0.871303734,0.059506693,2.55E-49,1.00E-46,-1.00E-46
ART3,60.05803081,-4.972831229,0.339934081,4.17E-49,1.28E-46,-1.28E-46
IGF2BP3,33.34223978,-2.528401075,0.161759735,4.27E-49,1.55E-46,-1.55E-46
SQLE,2307.719784,-1.218545798,0.084030996,6.44E-49,2.03E-46,-2.03E-46
INA,12.66137883,-2.267624355,0.279159431,7.79E-49,2.68E-46,-2.68E-46
NAE1,820.4360962,-0.649195333,0.044585879,9.45E-49,3.68E-46,-3.68E-46
MELK,449.911011,-1.402967721,0.097471263,2.92E-48,9.56E-46,-9.56E-46
KIF1A,383.6623156,-3.400056303,0.261136726,3.42E-48,1.10E-45,-1.10E-45
STIL,374.371383,-1.116622332,0.077552273,3.95E-48,1.48E-45,-1.48E-45
CPB1,15923.88622,-3.666102453,0.337864948,5.50E-48,1.65E-45,-1.65E-45
YWHAZ,24659.13588,-0.799221528,0.05591024,8.53E-48,2.51E-45,-2.51E-45
03-Sep,434.9905514,-1.800811143,0.126108208,9.38E-48,2.75E-45,-2.75E-45
MTFR1,836.8191689,-0.970533898,0.067791648,1.61E-47,4.54E-45,-4.54E-45
SKA1,182.2413655,-1.368287577,0.09612228,2.90E-47,7.37E-45,-7.37E-45
CBX2,552.2687761,-1.786306492,0.126031222,4.52E-47,1.20E-44,-1.20E-44
CDCA8,512.8292679,-1.216615152,0.085607911,4.79E-47,1.25E-44,-1.25E-44
SOX11,346.0696454,-2.523973226,0.180032636,2.22E-46,5.71E-44,-5.71E-44
SF3B3,3823.56515,-0.664821963,0.046981067,3.27E-46,7.97E-44,-7.97E-44
MCM4,2387.067741,-1.029140157,0.073095222,4.27E-46,1.13E-43,-1.13E-43
NUP93,971.9053984,-0.687477294,0.048651049,4.97E-46,1.17E-43,-1.17E-43
CENPA,165.6704602,-1.432797093,0.102177423,5.55E-46,1.20E-43,-1.20E-43
DSCC1,236.2709025,-1.173731169,0.083757704,8.62E-46,2.67E-43,-2.67E-43
TPX2,1740.284339,-1.221171355,0.087315281,1.18E-45,2.67E-43,-2.67E-43
BUB1,564.0269659,-1.248652983,0.089422681,1.60E-45,3.53E-43,-3.53E-43
FADS1,761.823016,-1.412891593,0.101813855,4.13E-45,8.59E-43,-8.59E-43
DEPDC1,305.7722989,-1.37812859,0.099348105,4.99E-45,1.22E-42,-1.22E-42
NIP7,542.0161521,-0.651077129,0.046745104,8.26E-45,1.62E-42,-1.62E-42
CA9,158.2825466,-3.556776981,0.297433151,9.16E-45,1.66E-42,-1.66E-42
NUDCD1,693.0362149,-0.818347118,0.059231407,2.54E-44,5.41E-42,-5.41E-42
STIP1,4058.273014,-0.665633334,0.048444851,3.09E-44,5.59E-42,-5.59E-42
CKAP5,3536.772185,-0.662173974,0.047875766,3.18E-44,5.68E-42,-5.68E-42
CIAPIN1,864.5451624,-0.588853029,0.042670968,6.02E-44,1.06E-41,-1.06E-41
ANLN,963.4651469,-1.285583729,0.094421164,1.61E-43,2.24E-41,-2.24E-41
SBSN,43.39542302,-3.223298083,0.312589681,2.15E-43,2.97E-41,-2.97E-41
FAM83D,426.5404613,-1.35648839,0.099679208,1.94E-43,3.29E-41,-3.29E-41
CEP55,499.8549375,-1.229642864,0.090369728,2.08E-43,3.50E-41,-3.50E-41
CHODL,43.45531275,-2.752975848,0.203978725,3.36E-43,4.44E-41,-4.44E-41
CDC25A,179.1690944,-1.27534866,0.093995249,3.63E-43,5.52E-41,-5.52E-41
ESRP1,3496.763551,-0.727617834,0.0533739,4.11E-43,6.45E-41,-6.45E-41
PIR,263.9137324,-1.237508921,0.091710812,1.07E-42,1.98E-40,-1.98E-40
XPOT,2331.776932,-0.716270095,0.05289739,2.16E-42,3.31E-40,-3.31E-40
L1CAM,192.846907,-2.142537409,0.182494868,6.66E-42,1.00E-39,-1.00E-39
CCNB2,534.6725718,-1.185254262,0.088786795,7.04E-42,1.05E-39,-1.05E-39
CDCA2,212.2336469,-1.405319419,0.105527496,9.42E-42,1.30E-39,-1.30E-39
CLDN6,12.65687191,-4.412574507,0.326153917,1.11E-41,1.60E-39,-1.60E-39
SLC7A5,2699.485557,-1.548685362,0.116594844,1.11E-41,1.60E-39,-1.60E-39
FBXO45,751.9580045,-0.620595611,0.046315006,1.37E-41,1.93E-39,-1.93E-39
TTK,342.0540303,-1.293950638,0.097165423,1.07E-41,2.06E-39,-2.06E-39
SGOL1,104.3810591,-1.284597591,0.096799649,2.03E-41,2.82E-39,-2.82E-39
RDH10,1227.993559,-1.73928674,0.131782345,2.69E-41,3.65E-39,-3.65E-39
GINS2,436.2835018,-1.088911631,0.082103763,2.93E-41,3.91E-39,-3.91E-39
CDH2,189.1316381,-2.031056218,0.142646259,3.12E-41,3.91E-39,-3.91E-39
PRR11,134.6043881,-1.956236748,0.125638298,3.20E-41,4.23E-39,-4.23E-39
SLC15A1,37.25435169,-3.958607569,0.315756766,3.43E-41,4.49E-39,-4.49E-39
CCT5,5983.535707,-0.670913702,0.050354356,4.91E-41,6.30E-39,-6.30E-39
XPO5,1603.602299,-0.713736894,0.05369092,4.24E-41,6.89E-39,-6.89E-39
CKAP2L,194.7983648,-1.187764883,0.090517681,1.64E-40,2.02E-38,-2.02E-38
DDN,12.97581328,-2.539896359,0.185927704,2.00E-40,2.38E-38,-2.38E-38
GSG2,65.86177236,-1.111500128,0.084728955,2.00E-40,2.38E-38,-2.38E-38
FANCA,298.2194274,-1.172465337,0.089528066,2.28E-40,2.69E-38,-2.69E-38
KIF4A,603.0445816,-1.1406177,0.087045932,2.23E-40,3.02E-38,-3.02E-38
HSPD1,8516.386909,-0.718972303,0.054840012,4.84E-40,5.54E-38,-5.54E-38
CENPI,76.13342441,-1.291747131,0.099248938,6.07E-40,5.54E-38,-5.54E-38
PTDSS1,2134.41943,-0.750575436,0.057322022,5.09E-40,6.35E-38,-6.35E-38
TRIP13,450.4824133,-1.138471025,0.087433979,6.60E-40,7.40E-38,-7.40E-38
PSAT1,370.4294753,-2.236671413,0.172459624,6.83E-40,9.10E-38,-9.10E-38
KIF2C,613.9824865,-1.224864413,0.094143732,7.18E-40,9.19E-38,-9.19E-38
PPP1R14C,207.9780861,-2.585925,0.200793334,1.30E-39,1.49E-37,-1.49E-37
GTPBP4,1568.360717,-0.718283369,0.055226234,1.87E-39,2.03E-37,-2.03E-37
SLIT1,55.05697064,-3.052509899,0.203733568,2.37E-39,2.05E-37,-2.05E-37
KIF18A,188.7575245,-1.123120051,0.086854521,2.21E-39,2.36E-37,-2.36E-37
UBE2V2,1129.420003,-0.706913992,0.05440396,2.46E-39,2.61E-37,-2.61E-37
CENPE,430.9446826,-1.138828115,0.088165277,2.57E-39,2.71E-37,-2.71E-37
GARS,2624.564303,-0.636830622,0.049017251,2.81E-39,2.95E-37,-2.95E-37
GPT2,954.3739363,-1.158153109,0.089849141,3.45E-39,2.99E-37,-2.99E-37
MAD2L1,472.0194701,-0.981082705,0.075934747,3.22E-39,3.27E-37,-3.27E-37
CENPO,157.9828042,-0.771629446,0.059571138,3.33E-39,3.49E-37,-3.49E-37
HIST1H2BJ,72.70924609,-1.572683462,0.122656843,5.26E-39,4.19E-37,-4.19E-37
DKC1,1860.321966,-0.629722045,0.048818279,5.58E-39,5.16E-37,-5.16E-37
ACTL6A,1436.69003,-0.589666605,0.045526127,6.30E-39,6.14E-37,-6.14E-37
NCAPH,357.5726113,-1.078145567,0.083886418,6.87E-39,6.65E-37,-6.65E-37
CCNA2,550.0451739,-1.121982295,0.087602368,9.82E-39,9.44E-37,-9.44E-37
SRPK1,1599.706028,-0.711182475,0.055235634,1.03E-38,9.86E-37,-9.86E-37
CASP14,62.32604314,-3.932625399,0.391569629,1.50E-38,1.14E-36,-1.14E-36
ULBP1,36.50821205,-1.969266206,0.154895102,1.69E-38,1.28E-36,-1.28E-36
KIAA1524,239.0845971,-1.06368036,0.083113757,1.37E-38,1.28E-36,-1.28E-36
PPIAL4G,31.94448106,-0.780219026,0.060873879,1.90E-38,1.41E-36,-1.41E-36
ERCC6L,156.2134124,-1.032039602,0.080776883,1.89E-38,1.63E-36,-1.63E-36
KIF23,592.8557437,-0.988650514,0.077371813,1.99E-38,1.83E-36,-1.83E-36
COL22A1,149.8771884,-1.802665441,0.170785859,3.10E-38,2.82E-36,-2.82E-36
PGBD5,203.0959108,-1.977781421,0.156236261,3.14E-38,2.84E-36,-2.84E-36
MYBL2,1284.155347,-1.461606016,0.115438751,4.34E-38,3.88E-36,-3.88E-36
SUV39H2,264.1839287,-0.847791087,0.066671578,5.79E-38,5.11E-36,-5.11E-36
ARMC1,939.2387605,-0.656661487,0.051647754,9.78E-38,7.12E-36,-7.12E-36
FOXM1,1252.011074,-1.271549894,0.100925566,1.27E-37,9.19E-36,-9.19E-36
DLGAP5,379.3223028,-1.139057014,0.09025657,1.16E-37,1.00E-35,-1.00E-35
NCAPG,515.9733241,-1.061185114,0.084098968,1.34E-37,1.14E-35,-1.14E-35
ULBP2,29.31168097,-1.738279238,0.13862858,1.82E-37,1.53E-35,-1.53E-35
PSMD11,1489.909363,-0.688974052,0.054475161,2.08E-37,1.73E-35,-1.73E-35
RPN2,10199.2083,-0.621018961,0.04921611,3.60E-37,2.64E-35,-2.64E-35
TUBA1C,4533.12072,-0.697660393,0.055666131,4.17E-37,3.04E-35,-3.04E-35
NDC80,342.7202743,-1.170797589,0.093559787,4.26E-37,3.46E-35,-3.46E-35
CHEK1,258.3870642,-0.923871878,0.073647547,4.39E-37,3.54E-35,-3.54E-35
SLC6A17,57.32348939,-2.096802607,0.168732688,5.67E-37,3.64E-35,-3.64E-35
EPT1,1524.598204,-0.620082601,0.049284036,6.00E-37,4.76E-35,-4.76E-35
VGLL1,228.0854152,-3.484954976,0.289605102,7.76E-37,7.30E-35,-7.30E-35
HMGB3,1715.907137,-1.044735621,0.083850624,1.02E-36,8.00E-35,-8.00E-35
PLK1,674.4562334,-1.143533855,0.091869077,1.02E-36,9.12E-35,-9.12E-35
CCT6A,4943.987568,-0.639201904,0.045577352,1.48E-36,1.25E-34,-1.25E-34
CLSPN,151.0721373,-1.305499464,0.105501462,2.08E-36,1.47E-34,-1.47E-34
RAD51AP1,266.2680141,-1.05643483,0.08524142,2.25E-36,1.69E-34,-1.69E-34
C8orf76,530.6844623,-0.694231188,0.05576425,2.59E-36,1.93E-34,-1.93E-34
POLQ,168.8865672,-1.098123208,0.088883179,3.53E-36,2.57E-34,-2.57E-34
ATAD2,1881.26458,-0.972338721,0.078819918,5.45E-36,3.87E-34,-3.87E-34
ACOT7,650.0521723,-0.807916623,0.065406442,6.33E-36,4.47E-34,-4.47E-34
DBNDD1,968.0035757,-0.969348414,0.07884925,9.23E-36,5.36E-34,-5.36E-34
FANCB,32.05322804,-1.046711462,0.085219125,1.01E-35,5.56E-34,-5.56E-34
RRM2,1177.381421,-1.112555177,0.090536017,1.04E-35,5.93E-34,-5.93E-34
