"","V1","pvals_Basal","pvals_Basal_myo","pvals_L11","pvals_L12","pvals_L2"
"94","CEBPB",0.18675,0.20237,0.03609,0.22542,0.20867
"95","CEP55",0.00131,0.58123,0.57364,0.63752,0.60593
"96","CGNL1",0.6419,0.73504,0.0353,0.5209,0.48618
"97","CHD1L",0.62569,0.20424,0.30311,0.15843,0.03347
"98","CHI3L1",0.01907,0.40678,0.0243,0.58739,0.66681
"99","CHI3L2",0.36267,0.34513,0.0066,0.33901,0.37305
"100","CHRAC1",0.28754,0.22024,0.37403,0.02625,0.14281
"101","CHST15",0.25484,0.27241,0.42197,0.22267,0.0369
"102","CHST3",0.02762,0.01724,0.5102,0.55651,0.5988
"103","CHURC1",0.02662,0.24944,0.27465,0.29497,0.27161
"104","CIAPIN1",0.29251,0.24862,0.42119,0.01629,0.10562
"105","CISH",0.73803,0.64826,0.2577,3e-05,0.40706
"106","CKAP2",0.01289,0.40961,0.52513,0.57429,0.48889
"107","CKS1B",0.03254,0.06799,0.11185,0.42149,0.45508
"108","CLDN12",0.36219,0.49529,0.0256,0.15378,0.14394
"109","CLEC3A",0.60503,0.73249,0.03171,0.57886,0.40781
"110","CLEC7A",0.63828,0.72433,0.02833,0.6164,0.67567
"111","CMBL",0.59303,0.23989,0.65331,0.77946,0.00158
"112","CMTM7",0.02452,0.09836,0.29756,0.55279,0.55217
"113","CNNM4",0.41063,0.34126,0.05953,0.02163,0.43489
"114","COG1",0.4543,0.57181,0.60371,0.33026,0.02584
"115","COG2",0.50484,0.5065,0.29585,0.19362,0.02514
"116","COL4A3BP",0.16785,0.09499,0.17338,0.02072,0.32639
"117","COL4A5",0.22484,0.02448,0.76921,0.75422,0.53957
"118","COMMD2",0.35842,0.40287,0.14129,0.02316,0.0387
"119","COMP",0.61477,0.0276,0.59126,0.77104,0.75332
"120","CORO2A",0.49671,0.25418,0.29098,0.39864,0.02295
"121","CPEB2",0.54584,0.58432,0.47549,0.58946,0.00471
"122","CPEB4",0.62056,0.5295,0.01754,0.0011,0.27811
"123","CPE",0.10625,0.01799,0.73289,0.71624,0.7637
"124","CP",0.65558,0.65054,0.36203,0.61986,0.00333
"125","CRABP1",0.71091,0.71732,0.00393,0.59282,0.6961
"126","CRAT",0.3621,0.33067,0.0023,0.24766,0.42327
"127","CREB3L1",0.71913,0.78515,0.14597,0.36877,0.00846
"128","CRIP1",0.02602,0.23532,0.39248,0.66296,0.12093
"129","CRY2",0.18899,0.61494,0.06803,0.04183,0.08168
"130","CRYAB",0.03086,0.05432,0.22917,0.42007,0.61521
"131","CSPG4",0.31956,0.03445,0.70416,0.6941,0.70745
"132","CSRNP2",0.41467,0.21865,0.31812,0.04523,0.46847
"133","CTSF",0.22194,0.04804,0.25807,0.79129,0.59349
"134","CTSO",0.25117,0.03127,0.396,0.48726,0.38489
"135","CTTNBP2NL",0.48844,0.16248,0.28906,0.04855,0.35311
"136","CX3CL1",0.55402,0.55244,0.00164,0.5392,0.34869
"137","CXCL10",0.3898,0.19225,0.02058,0.63873,0.56688
"138","CXCL12",0.0488,0.56606,0.55323,0.54891,0.62386
"139","CXCL13",0.31956,0.5365,0.45452,0.01377,0.59046
"140","CXCL14",0.03185,0.09721,0.72386,0.72493,0.723
"141","CYB5A",0.16181,0.12904,0.29886,0.2969,0.03785
"142","CYP4X1",0.78675,0.7896,0.56613,0.82286,0.02298
"143","CYYR1",0.64851,0.64443,0.04872,0.31519,0.67515
"144","DACH1",0.62495,0.83963,0.84247,0.85381,0.03084
"145","DAPK1",0.11359,0.34942,0.01413,0.56318,0.2982
"146","DBNDD2",0.16717,0.47254,0.33892,0.03584,0.19343
"147","DDX19A",0.42566,0.30942,0.26001,0.15533,0.03355
"148","DDX49",0.25918,0.39287,0.43239,0.44572,0.04286
"149","DEGS2",0.55572,0.67209,0.54842,0.32657,0.00308
"150","DENND2D",0.60159,0.54342,0.02082,0.37446,0.27061
"151","DEPDC1",0.0396,0.70505,0.62836,0.66982,0.57802
"152","DGKD",0.44225,0.60846,0.85296,0.33983,0.00732
"153","DGUOK",0.03718,0.31693,0.36545,0.23963,0.37392
"154","DHX40",0.03473,0.41912,0.34871,0.51375,0.56549
"155","DKK3",0.17447,0.0367,0.73901,0.74196,0.72843
"156","DLGAP5",0.02243,0.65283,0.62218,0.68009,0.6467
"157","DNAJC12",0.60912,0.7096,0.70738,0.8276,0.01266
"158","DNAJC2",0.3608,0.17788,0.08452,0.00482,0.37044
"159","DNMBP",0.44379,0.4718,0.37995,0.33058,0.04
"160","DUSP5",0.65749,0.68556,0.52574,0.03835,0.0065
"161","E2F3",0.20568,0.22947,0.30919,0.00345,0.15209
"162","E2F4",0.61854,0.52082,0.21767,0.0221,0.01157
