Genes,log2FoldChange,padj,D_Basal_EvsT,D_Basal_myoepithelial_EvsT,D_Luminal_1_1_EvsT,D_Luminal_1_2_EvsT,D_Luminal_2_EvsT,Phi_Basal_TvsE,Phi_Basal_myoepithelial_TvsE,Phi_Luminal_1_1_TvsE,Phi_Luminal_1_2_TvsE,Phi_Luminal_2_TvsE,Phi_Basal_EvsT,Phi_Basal_myoepithelial_EvsT,Phi_Luminal_1_1_EvsT,Phi_Luminal_1_2_EvsT,Phi_Luminal_2_EvsT,log2FC_Basal_EvsT,log2FC_Basal_myoepithelial_EvsT,log2FC_Luminal_1_1_EvsT,log2FC_Luminal_1_2_EvsT,log2FC_Luminal_2_EvsT,LOG(padj)
CA12,3.961139786,3.60E-249,0.000111669,6.70E-05,0.00012654,1.60E-05,0.000724679,0.000007996,5.49E-06,0.000006642,3.39E-06,2.81E-05,0.000119665,7.25E-05,0.000133182,1.94E-05,0.000752803,3.903578968,3.724950934,4.325637577,2.512728268,4.742403802,248.4436975
NAT1,5.325419624,7.49E-237,2.98E-07,1.11E-06,2.50E-06,1.58E-05,0.000701985,5.04E-07,4.57E-07,5.70E-07,7.73E-07,5.69E-07,8.03E-07,1.57E-06,3.07E-06,1.65E-05,0.000702554,0.670410097,1.778539088,2.430877787,4.418630792,10.27000785,236.1255182
FSIP1,5.103605873,1.95E-220,1.51E-06,2.54E-06,7.98E-08,1.58E-07,0.000143496,4.38E-07,4.00E-07,5.01E-07,6.80E-07,4.97E-07,1.94E-06,2.94E-06,5.80E-07,8.37E-07,0.000143993,2.149773511,2.879893569,0.213416534,0.300749291,8.177678137,219.7099654
MLPH,3.44754815,5.29E-213,2.48E-06,6.17E-07,9.73E-05,1.81E-05,0.000944147,1.97E-06,1.73E-06,4.22E-06,2.84E-06,2.52E-05,4.46E-06,2.34E-06,0.000101535,2.10E-05,0.000969374,1.175899957,0.441090577,4.58774614,2.886944768,5.264029988,212.2765443
AGR3,5.253849509,2.82E-207,4.65E-07,1.79E-07,3.28E-07,2.20E-07,0.000846099,5.13E-07,4.71E-07,5.83E-07,7.84E-07,5.92E-07,9.78E-07,6.50E-07,9.10E-07,1.00E-06,0.000846691,0.930056201,0.464459862,0.644077095,0.357253387,10.48304412,206.5497509
TBC1D9,3.097234042,8.13E-204,0.000164857,0.000242433,3.84E-05,2.32E-05,0.000398576,3.73E-05,5.53E-05,1.04E-05,8.08E-06,7.32E-05,0.0002022,0.000297769,4.88E-05,3.13E-05,0.000471815,2.436853942,2.427895478,2.225062294,1.953354945,2.687527439,203.0899095
XBP1,2.590953846,3.39E-203,3.80E-06,9.96E-06,0.000014059,0.000033398,-6.32E-06,7.45E-05,0.000228237,0.000206208,0.000359843,0.000124292,7.83E-05,0.000238195,0.000220267,0.000393241,0.000117968,0.071821895,0.061610441,0.095153065,0.128046153,-0.075337874,202.4698003
ESR1,4.320460854,3.08E-200,-3.62E-07,-3.17E-07,0.00010023,2.94E-06,0.00095475,1.61E-06,0.000001365,3.43E-06,2.28E-06,1.75E-05,1.25E-06,1.05E-06,0.000103661,5.22E-06,0.000972275,-0.366595345,-0.380849308,4.916915277,1.194978584,5.793886309,199.5114493
FOXA1,3.657402616,2.69E-194,-5.29E-07,-5.59E-07,-8.87E-08,7.06E-06,0.001028956,1.51E-06,1.35E-06,1.53E-06,2.22E-06,2.82E-05,9.76E-07,7.94E-07,1.44E-06,9.29E-06,0.00105715,-0.624407281,-0.768901183,-0.085924608,2.061904041,5.228632762,193.5702477
GATA3,3.050064997,6.84E-193,0.000122893,0.000124315,0.000204191,0.000139192,0.000212559,4.46E-05,4.60E-05,9.19E-05,5.59E-05,9.43E-05,0.000167477,0.000170289,0.0002961,0.000195072,0.000306896,1.909368253,1.889098284,1.687809583,1.803607951,1.701857273,192.1649439
PRR15,3.613437232,1.02E-187,9.66E-06,8.82E-06,8.92E-07,9.21E-07,0.000322619,4.74E-07,4.32E-07,5.41E-07,7.35E-07,5.38E-07,1.01E-05,9.25E-06,1.43E-06,1.66E-06,0.000323157,4.416599678,4.42105828,1.404646616,1.172439564,9.231647413,186.9913998
CYP2B7P1,6.262442151,1.03E-180,0.000134961,0.000118775,0.000153663,0.000169059,8.98E-05,6.56E-07,5.95E-07,7.43E-07,9.79E-07,7.50E-07,0.000135617,0.00011937,0.000154406,0.000170038,9.06E-05,7.690938311,7.648997015,7.69931206,7.440948734,6.916530171,179.9871628
GPR77,3.206205995,2.83E-179,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,178.5482136
ZNF552,2.547509699,1.34E-178,0.000438174,5.66E-05,0.00018714,9.34E-05,0.000179485,7.19E-07,6.24E-07,7.88E-07,1.08E-06,7.75E-07,0.000438893,5.72E-05,0.000187928,9.45E-05,0.00018026,9.253286602,6.519156413,7.898017704,6.450931404,7.862099212,177.8728952
SLC44A4,4.066746572,1.72E-175,4.86E-07,1.61E-07,2.83E-05,2.03E-06,0.000901922,9.95E-07,8.70E-07,1.20E-06,1.52E-06,3.71E-06,1.48E-06,1.03E-06,2.95E-05,3.55E-06,0.000905636,0.573940356,0.245030899,4.618104727,1.223941861,7.92983699,174.7644716
ANXA9,3.365566454,2.47E-173,8.34E-06,2.52E-05,1.77E-05,6.44E-07,0.000379498,4.90E-07,4.47E-07,5.60E-07,7.59E-07,5.56E-07,8.83E-06,2.56E-05,0.000018244,1.40E-06,0.000380054,4.17184168,5.843229474,5.026366778,0.886043446,9.417394316,172.607303
THSD4,3.075145042,5.85E-173,1.31E-05,1.36E-05,0.000144981,9.31E-05,0.000824183,1.39E-06,1.23E-06,2.34E-06,2.15E-06,5.23E-06,1.44E-05,1.48E-05,0.000147323,9.52E-05,0.000829415,3.380813877,3.591243749,5.975190199,5.467685165,7.308609847,172.2328441
SLC7A8,2.520682302,1.05E-166,9.39E-05,6.22E-05,4.94E-05,1.02E-05,0.000807184,4.18E-06,3.64E-06,3.32E-06,3.01E-06,2.36E-05,9.81E-05,6.58E-05,5.27E-05,1.32E-05,0.000830741,4.553296533,4.174256603,3.988341974,2.131150339,5.140189403,165.9788107
TFF1,5.881862933,1.75E-165,3.07E-07,2.57E-07,4.42E-06,3.50E-07,0.000649385,6.35E-07,5.85E-07,7.18E-07,9.63E-07,8.41E-07,9.42E-07,8.42E-07,5.13E-06,1.31E-06,0.000650226,0.568183145,0.52578984,2.838214335,0.447692697,9.595422784,164.756962
DNALI1,3.218092267,7.91E-159,0.000230903,7.24E-05,5.06E-05,1.25E-05,0.000288221,5.82E-07,5.30E-07,6.62E-07,8.98E-07,6.59E-07,0.000231485,7.29E-05,5.13E-05,1.34E-05,0.00028888,8.63676503,7.105411985,6.276124757,3.901748784,8.776315514,158.1018235
BCAS1,4.330635661,4.42E-157,9.93E-07,3.70E-06,1.40E-06,6.24E-06,0.000372847,4.74E-07,4.32E-07,5.42E-07,7.35E-07,5.38E-07,1.47E-06,4.13E-06,1.94E-06,6.97E-06,0.000373385,1.629360244,3.257553602,1.844536053,3.246046302,9.438976169,156.3545777
AKR7A3,4.544833417,5.61E-157,1.09E-06,2.34E-06,4.54E-07,1.41E-06,0.000310014,4.58E-07,4.17E-07,5.23E-07,7.09E-07,5.19E-07,1.55E-06,2.75E-06,9.77E-07,2.12E-06,0.000310533,1.757808577,2.723968653,0.902770347,1.578052048,9.224712946,156.2510371
ABAT,3.080633078,4.63E-155,4.06E-05,7.41E-05,4.34E-05,6.07E-05,0.000557718,7.57E-07,7.17E-07,8.30E-07,1.14E-06,9.03E-07,4.14E-05,7.48E-05,0.000044235,6.18E-05,0.000558621,5.771901002,6.704746263,5.73549522,5.763891005,9.272421734,154.334419
DEGS2,3.559299,3.14E-152,1.68E-05,4.25E-06,1.65E-05,8.61E-05,0.000624812,7.11E-07,6.05E-07,7.88E-07,1.10E-06,8.60E-07,0.000017512,4.86E-06,1.73E-05,8.72E-05,0.000625672,4.622782754,3.005724574,4.455598218,6.312978296,9.506158151,151.5030704
C6orf97,2.982083039,5.71E-152,6.58E-05,5.10E-05,7.75E-05,7.76E-05,4.99E-05,6.18E-07,5.57E-07,6.92E-07,9.37E-07,6.91E-07,6.64E-05,5.16E-05,7.82E-05,7.85E-05,5.06E-05,6.746157994,6.533902842,6.820882575,6.389987914,6.192996839,151.2433639
SLC16A6,4.020953746,6.18E-152,1.14E-07,3.59E-08,6.77E-08,8.89E-07,0.000204312,4.14E-07,3.78E-07,4.74E-07,6.42E-07,4.71E-07,5.28E-07,4.14E-07,5.42E-07,1.53E-06,0.000204783,0.349729746,0.131001732,0.192723833,1.253248108,8.763604999,151.2090115
F7,1.65269935,4.89E-151,1.53E-05,1.04E-07,4.01E-07,4.06E-07,1.08E-05,4.33E-07,3.96E-07,4.95E-07,6.72E-07,4.91E-07,1.57E-05,5.01E-07,8.96E-07,1.08E-06,1.13E-05,5.180734425,0.337623219,0.855659458,0.681406235,4.526480674,150.3106911
ZMYND10,3.418913484,5.05E-150,2.74E-05,3.32E-05,4.07E-07,1.46E-07,8.26E-06,4.58E-07,4.17E-07,5.23E-07,7.09E-07,5.19E-07,2.78E-05,3.36E-05,9.30E-07,8.55E-07,8.77E-06,5.927562669,6.332119572,0.830328498,0.269784465,4.080549351,149.2967086
AGR2,4.40547225,4.06E-149,4.57E-05,6.93E-06,1.01E-05,0.000189514,0.00085413,2.64E-06,1.78E-06,2.30E-06,4.88E-06,1.54E-05,4.83E-05,8.71E-06,1.24E-05,0.000194389,0.000869575,4.195899066,2.28843159,2.434448006,5.317347286,5.815080006,148.391474
MAPT,3.423468647,3.23E-146,3.16E-06,3.02E-06,0.000101989,3.23E-06,0.000820794,1.11E-06,9.92E-07,0.000001529,0.000001591,4.40E-06,4.27E-06,4.02E-06,0.000103518,4.83E-06,0.000825195,1.941904514,2.017218177,6.081149432,1.600726663,7.550684503,145.4907975
ARSG,2.362949405,1.97E-142,1.96E-05,2.54E-05,3.40E-05,7.95E-06,4.39E-05,5.03E-07,4.58E-07,5.75E-07,7.80E-07,5.71E-07,2.01E-05,2.58E-05,3.45E-05,8.73E-06,4.45E-05,5.318972333,5.817853638,5.909358308,3.485334174,6.283277489,141.7055338
SLC39A6,3.200958281,6.92E-141,0.000010374,3.66E-06,3.49E-07,8.25E-06,-0.000028436,0.000186524,0.000107059,0.000123481,0.00019096,0.000351573,0.000196898,0.00011072,0.00012383,0.00019921,0.000323137,0.078087183,0.048509766,0.004071804,0.061019599,-0.121678327,140.1598939
SLC22A5,1.566199483,8.03E-141,8.13E-06,1.30E-05,4.22E-05,0.000144008,0.000109831,5.14E-07,4.68E-07,5.87E-07,7.97E-07,5.83E-07,8.64E-06,1.35E-05,4.28E-05,0.000144805,0.000110414,4.071933828,4.845499567,6.188267783,7.505755914,7.564689465,140.0952845
KIAA1370,1.897034911,2.15E-140,0.000240876,0.000222988,0.00026173,0.000304403,0.000148834,4.50E-06,4.12E-06,4.37E-06,5.00E-06,3.37E-06,0.000245378,0.000227105,0.000266098,0.0003094,0.000152204,5.76837936,5.785639732,5.928943393,5.952298927,5.49691268,139.6675615
LOC145837,4.222025571,5.89E-136,2.80E-06,1.16E-06,2.87E-06,3.44E-06,4.53E-06,4.61E-07,4.22E-07,5.28E-07,7.17E-07,5.25E-07,3.27E-06,1.58E-06,3.40E-06,4.16E-06,5.06E-06,2.822811701,1.908912894,2.686062729,2.536504091,3.269710404,135.2298847
CCDC125,1.529453147,6.12E-133,4.56E-05,5.23E-05,3.06E-05,1.67E-05,0.000198277,5.20E-07,4.73E-07,5.94E-07,8.05E-07,5.89E-07,4.61E-05,5.28E-05,3.12E-05,1.75E-05,0.000198866,6.471014999,6.801371293,5.71526156,4.444789999,8.398573763,132.2132486
SCUBE2,4.157899461,1.71E-131,2.33E-05,9.33E-05,-1.92E-07,-4.13E-08,0.000810764,2.03E-06,2.50E-06,1.80E-06,2.31E-06,1.59E-05,0.000025293,0.000095807,1.61E-06,2.27E-06,0.000826636,3.640480563,5.261898009,-0.162387722,-0.025983076,5.702650911,130.7670039
PGR,4.598923568,2.49E-131,0.00034691,0.000246703,2.68E-07,6.67E-07,0.000143567,9.74E-07,8.66E-07,9.06E-07,1.19E-06,9.54E-07,0.000347884,0.000247569,1.17E-06,1.85E-06,0.000144521,8.480882156,8.158784881,0.374231801,0.643605791,7.243552114,130.6038007
TUBA3D,5.62450886,1.14E-130,9.68E-06,8.02E-06,1.14E-05,1.31E-05,6.31E-06,4.86E-07,4.43E-07,5.55E-07,7.54E-07,5.52E-07,1.02E-05,8.47E-06,1.19E-05,1.39E-05,6.86E-06,4.387234514,4.257001334,4.425852332,4.203215783,3.63600604,129.9430951
TPRG1,4.468981084,3.47E-130,9.20E-05,0.000240844,3.55E-06,2.17E-07,6.06E-07,4.69E-07,4.27E-07,5.36E-07,7.27E-07,5.32E-07,9.24E-05,0.000241271,4.09E-06,9.44E-07,1.14E-06,7.622604057,9.141169229,2.931306187,0.376274415,1.096613282,129.4596705
GP2,5.632988153,5.83E-130,5.13E-05,5.37E-05,6.89E-05,6.14E-05,4.22E-05,5.22E-07,4.76E-07,5.97E-07,8.10E-07,5.92E-07,5.19E-05,5.41E-05,6.95E-05,6.22E-05,4.28E-05,6.634048738,6.829203386,6.863792556,6.263206493,6.173480065,129.2343314
GFRA1,3.647681462,4.13E-129,0.000155701,1.07E-05,5.03E-05,1.77E-05,0.000722194,6.74E-06,2.15E-06,3.31E-06,2.88E-06,2.04E-05,0.000162443,1.28E-05,5.36E-05,2.06E-05,0.000742567,4.590619558,2.576408233,4.01597322,2.837033751,5.187762534,128.3840499
CT62,3.658969761,9.50E-129,-5.91E-08,-1.30E-07,-1.55E-08,-1.60E-07,5.98E-07,3.45E-07,3.21E-07,4.00E-07,5.44E-07,3.93E-07,2.86E-07,1.91E-07,3.84E-07,3.83E-07,9.91E-07,-0.270573196,-0.74888947,-0.057015848,-0.504261066,1.334639417,128.0222764
C4orf34,1.692135191,9.54E-129,0.000241724,0.000220157,0.000254996,0.000302708,0.000154092,3.52E-06,2.86E-06,3.28E-06,3.59E-06,2.68E-06,0.000245245,0.000223021,0.000258278,0.000306302,0.000156769,6.122262689,6.282913591,6.298201316,6.413076065,5.871609919,128.0204516
TMPRSS6,4.448165527,1.14E-128,1.77E-06,-4.54E-08,6.98E-08,1.14E-06,3.58E-05,4.29E-07,3.90E-07,4.91E-07,6.65E-07,4.87E-07,2.20E-06,3.45E-07,5.60E-07,1.81E-06,3.63E-05,2.357884114,-0.178405734,0.192031385,1.440708686,6.219587355,127.9430951
TSPAN1,3.64104243,1.14E-128,2.92E-05,0.000244342,2.70E-05,8.39E-06,0.000377532,9.44E-07,9.71E-07,1.06E-06,1.33E-06,1.25E-06,3.01E-05,0.000245313,2.80E-05,9.72E-06,0.00037878,4.995836919,7.980352884,4.725935862,2.873457824,8.24536723,127.9430951
GREB1,3.232418539,1.99E-128,1.49E-05,1.24E-05,0.000288873,6.56E-06,0.000576543,1.18E-06,1.12E-06,2.19E-06,1.66E-06,3.43E-06,1.61E-05,1.35E-05,0.000291061,8.23E-06,0.000579972,3.773837841,3.596717872,7.055512245,2.305157847,7.402211424,127.7011469
SIDT1,2.549552962,2.34E-127,1.46E-05,1.31E-06,9.79E-05,1.14E-06,0.00044257,7.58E-07,6.72E-07,8.74E-07,1.11E-06,9.85E-07,1.54E-05,1.98E-06,9.87E-05,2.25E-06,0.000443555,4.345348103,1.559794743,6.820061151,1.021086877,8.814230279,126.6307841
C5orf36,1.648366289,2.65E-127,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,126.5767541
TFF3,4.823314178,6.63E-126,8.25E-07,3.49E-07,4.08E-08,-1.19E-07,0.000816464,1.02E-06,8.82E-07,1.09E-06,1.51E-06,5.35E-06,1.85E-06,1.23E-06,1.13E-06,1.39E-06,0.000821814,0.853089881,0.480647096,0.05326447,-0.11870331,7.263255953,125.1784865
CLSTN2,3.491287819,8.33E-126,0.000135556,0.000227958,7.18E-07,3.23E-06,0.000284968,7.79E-07,7.23E-07,8.41E-07,1.09E-06,8.77E-07,0.000136335,0.000228681,1.56E-06,4.32E-06,0.000285845,7.451755922,8.304530626,0.890155794,1.985120025,8.348693854,125.079355
KCNJ11,2.473184813,2.50E-125,2.41E-06,1.09E-05,2.24E-06,1.79E-06,6.67E-05,8.42E-07,7.96E-07,9.46E-07,1.28E-06,1.11E-06,3.25E-06,1.17E-05,3.19E-06,3.08E-06,6.78E-05,1.949182912,3.871891808,1.752893999,1.260482707,5.928431501,124.60206
CXXC5,1.816400426,2.77E-125,3.40E-05,0.000261278,0.000111931,1.71E-06,0.00018251,6.22E-07,5.75E-07,7.01E-07,9.50E-07,6.91E-07,3.46E-05,0.000261853,0.000112632,2.66E-06,0.000183201,5.798318713,8.831539085,7.327937219,1.487132503,8.050824544,124.5575202
SLC4A8,3.080532158,1.09E-124,2.09E-05,1.04E-05,3.53E-06,5.88E-06,0.000290018,6.73E-07,5.94E-07,7.04E-07,1.02E-06,8.10E-07,2.16E-05,1.09E-05,4.24E-06,6.90E-06,0.000290828,5.005294158,4.203762693,2.589305737,2.757770563,8.488577235,123.9625735
FLJ45983,3.882969082,1.79E-123,3.28E-05,1.94E-05,3.37E-05,3.67E-05,2.09E-05,5.08E-07,4.62E-07,5.80E-07,7.87E-07,5.76E-07,3.33E-05,1.99E-05,3.43E-05,3.75E-05,2.15E-05,6.033647968,5.43048902,5.88548329,5.575196246,5.222357882,122.747147
TTC8,1.195354736,1.34E-122,2.53E-05,2.93E-05,1.31E-05,3.75E-06,0.000182036,5.03E-07,4.59E-07,5.75E-07,7.81E-07,5.71E-07,2.58E-05,2.98E-05,1.37E-05,4.53E-06,0.000182607,5.681660249,6.020224191,4.570417959,2.537716652,8.320431876,121.8728952
DNAJC12,3.451740831,2.38E-122,9.78E-06,2.45E-06,2.32E-06,4.78E-07,0.000437359,6.51E-07,5.83E-07,7.29E-07,9.74E-07,7.79E-07,1.04E-05,3.03E-06,3.05E-06,1.45E-06,0.000438138,4.002843918,2.378783391,2.065418417,0.576106663,9.135290751,121.623423
CHAD,4.49637377,2.37E-121,4.46E-06,4.09E-05,0.000169543,9.85E-05,7.73E-05,5.19E-07,4.72E-07,5.92E-07,8.03E-07,5.88E-07,4.98E-06,4.14E-05,0.000170135,9.93E-05,7.79E-05,3.264228951,6.453507545,8.167252165,6.950705139,7.049933515,120.6252517
ATP8B1,1.721077668,1.69E-120,0.000001551,2.05E-06,0.000311055,0.000268816,0.00044718,3.43E-06,3.25E-06,3.93E-05,4.05E-05,9.05E-05,4.98E-06,5.30E-06,0.000350342,0.00030934,0.000537684,0.538456133,0.706143062,3.156651058,2.932352027,2.570700298,119.7721133
LRRC46,2.873346938,3.68E-119,8.37E-08,9.48E-08,1.15E-07,8.82E-07,5.34E-06,4.14E-07,3.78E-07,4.72E-07,6.41E-07,4.69E-07,4.97E-07,4.73E-07,5.87E-07,1.52E-06,5.81E-06,0.265750702,0.322745583,0.315605117,1.249218486,3.631389474,118.4341522
KDM4B,1.741693251,1.56E-118,3.76E-05,0.00022267,0.00013423,0.000118959,0.000244897,2.27E-05,8.74E-05,4.53E-05,5.07E-05,9.82E-05,6.02E-05,0.000310116,0.000179548,0.000169676,0.000343115,1.409618964,1.826337064,1.986200751,1.74224689,1.804635785,117.8068754
C6orf211,2.576446227,2.52E-118,0.000240066,0.000212742,0.000256134,0.000300277,0.000152265,1.71E-06,1.56E-06,1.93E-06,2.28E-06,1.90E-06,0.000241779,0.000214304,0.000258062,0.000302561,0.000154169,7.14072524,7.099898863,7.064715812,7.049595376,6.339108114,117.5985995
TUBA3E,4.522116043,3.82E-118,3.32E-06,1.29E-06,3.54E-06,3.16E-06,1.50E-06,4.56E-07,4.16E-07,5.22E-07,7.08E-07,5.20E-07,3.78E-06,1.71E-06,4.06E-06,3.87E-06,2.02E-06,3.050355598,2.036449202,2.961753563,2.448998943,1.961501311,117.4179366
DNAL1,1.22859244,1.25E-117,2.65E-05,5.89E-06,1.27E-05,1.94E-05,4.60E-05,5.01E-07,4.57E-07,5.73E-07,7.77E-07,5.69E-07,2.70E-05,6.35E-06,1.33E-05,2.02E-05,0.000046596,5.753114462,3.797306342,4.532821251,4.702105819,6.354485529,116.90309
KCNJ3,7.101224398,2.41E-117,1.34E-05,4.24E-05,9.16E-05,5.97E-05,3.78E-05,5.16E-07,4.70E-07,5.90E-07,8.00E-07,5.86E-07,1.39E-05,4.29E-05,9.22E-05,6.05E-05,3.84E-05,4.750578613,6.51176035,7.288014172,6.239679136,6.034019138,116.617983
CPB1,7.627139221,8.71E-117,1.21E-07,2.01E-06,4.71E-05,3.84E-06,0.000301284,1.37E-06,1.15E-06,1.99E-06,1.87E-06,0.000005356,1.49E-06,3.17E-06,0.000049118,5.71E-06,0.00030664,0.122392545,1.457493717,4.624925832,1.609106093,5.839246132,116.0599818
KCNK15,3.462569413,9.53E-117,3.80E-06,1.12E-06,2.96E-07,1.31E-06,4.27E-05,4.52E-07,4.11E-07,5.15E-07,7.00E-07,5.11E-07,4.25E-06,1.53E-06,8.11E-07,2.01E-06,4.32E-05,3.234562628,1.896587462,0.654142975,1.518128844,6.40057346,116.0209071
AFF3,3.194602073,7.20E-116,3.45E-08,-1.03E-07,2.63E-09,-3.94E-08,0.00090993,9.43E-07,8.71E-07,1.02E-06,1.30E-06,4.27E-06,9.77E-07,7.67E-07,1.02E-06,1.26E-06,0.000914205,0.051925852,-0.182178253,0.003718197,-0.044263269,7.7405406,115.1426675
ZNF703,2.716160108,6.00E-115,4.84E-05,0.000100055,0.000153033,0.000124979,0.000106436,6.68E-07,6.00E-07,7.40E-07,1.07E-06,7.38E-07,4.91E-05,0.000100655,0.000153773,0.000126051,0.000107174,6.200097593,7.391072817,7.699455097,6.876993723,7.181895586,114.2218487
SYT9,4.606138956,2.27E-114,1.15E-07,3.38E-08,8.82E-08,8.91E-08,6.53E-05,3.98E-07,3.63E-07,4.55E-07,6.17E-07,4.52E-07,5.13E-07,3.97E-07,5.43E-07,7.06E-07,6.57E-05,0.367189334,0.128193286,0.255720287,0.194630825,7.183780906,113.6439741
INPP4B,2.377882493,2.91E-114,1.12E-05,1.64E-06,1.36E-07,7.36E-07,0.000428841,5.06E-07,4.75E-07,5.76E-07,7.83E-07,5.79E-07,1.17E-05,2.12E-06,7.12E-07,1.52E-06,0.00042942,4.534743259,2.154037913,0.306658727,0.956167013,9.534221669,113.536107
SLC7A2,3.785114067,1.07E-113,4.51E-07,-5.48E-07,-4.16E-07,-8.73E-07,0.000856268,1.63E-06,1.57E-06,1.69E-06,2.07E-06,2.29E-05,2.08E-06,1.02E-06,1.27E-06,1.20E-06,0.000879211,0.352792952,-0.619258993,-0.408781497,-0.790700832,5.260077194,112.9706162
TTC36,3.835838343,1.83E-113,7.58E-08,4.46E-08,6.96E-07,-2.06E-08,1.37E-06,3.99E-07,3.59E-07,4.55E-07,6.13E-07,4.49E-07,4.75E-07,4.03E-07,1.15E-06,5.92E-07,1.82E-06,0.250900158,0.169189253,1.339506579,-0.049231833,2.019798622,112.7375489
SUSD3,3.129984366,3.02E-113,1.18E-06,6.97E-06,3.32E-07,3.89E-07,0.000592856,4.94E-07,4.48E-07,5.58E-07,7.56E-07,5.57E-07,1.67E-06,7.42E-06,8.89E-07,1.14E-06,0.000593413,1.758985269,4.050614406,0.673241155,0.598602691,10.05591371,112.5199931
ANKRA2,1.036158181,5.49E-113,-1.01E-07,5.07E-07,-6.03E-08,-1.93E-07,-1.10E-07,3.77E-07,3.45E-07,4.29E-07,5.79E-07,4.22E-07,2.76E-07,8.52E-07,3.69E-07,3.86E-07,3.12E-07,-0.449785199,1.302581055,-0.218214241,-0.58547826,-0.437024045,112.2604277
SLC30A8,5.902442042,6.22E-113,2.74E-05,7.25E-05,4.17E-05,1.39E-06,1.56E-05,7.16E-07,5.94E-07,7.94E-07,9.93E-07,7.09E-07,2.82E-05,7.31E-05,4.25E-05,2.38E-06,1.63E-05,5.297181335,6.944455581,5.742435277,1.262184248,4.524955231,112.2062096
CACNA2D2,3.020820011,6.63E-113,9.89E-06,0.000119264,4.08E-07,3.65E-07,1.95E-06,4.51E-07,4.11E-07,5.16E-07,7.00E-07,5.11E-07,1.03E-05,0.000119675,9.24E-07,1.07E-06,2.47E-06,4.520073885,8.186483957,0.841706996,0.605438688,2.269673384,112.1784865
KCNH1,3.896111151,4.02E-111,5.69E-06,4.76E-06,4.00E-06,2.25E-06,4.05E-06,4.70E-07,4.29E-07,5.38E-07,7.29E-07,5.34E-07,6.16E-06,5.19E-06,4.54E-06,2.98E-06,4.58E-06,3.710979252,3.59658944,3.078595329,2.032261993,3.102013976,110.3957739
CST9,6.834164419,4.24E-111,2.20E-05,1.76E-05,2.43E-05,2.65E-05,1.59E-05,5.04E-07,4.58E-07,5.75E-07,7.80E-07,5.71E-07,2.25E-05,1.81E-05,2.48E-05,2.73E-05,1.65E-05,5.481057795,5.300738786,5.431453996,5.128006372,4.850863414,110.3726341
MCCC2,1.748481877,4.90E-111,1.91E-05,2.49E-05,0.00012351,0.000149931,1.81E-05,4.61E-05,5.51E-05,0.00033214,0.000354769,8.53E-05,0.000065274,8.00E-05,0.00045565,0.0005047,0.000103427,0.500305978,0.538037399,0.456134589,0.508546135,0.278254004,110.3098039
LOC100130148,5.573754554,8.38E-111,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,110.076756
CRIP1,2.757922946,1.49E-110,0.000323198,0.000135659,5.99E-05,4.04E-06,0.000211802,8.91E-05,3.44E-05,2.26E-05,6.51E-06,7.31E-05,0.000412272,0.00017002,0.000082531,1.06E-05,0.000284939,2.210518575,2.306864735,1.865686245,0.697235456,1.961973826,109.8268137
ACADSB,2.12590899,2.85E-110,4.91E-05,0.000051906,7.77E-05,1.52E-05,0.000805361,2.81E-06,2.44E-06,3.33E-06,2.91E-06,2.52E-05,5.19E-05,5.43E-05,8.10E-05,1.81E-05,0.000830551,4.206531893,4.478633362,4.602054083,2.637302296,5.043117096,109.5451551
HPX,3.975530578,6.75E-110,4.87E-06,3.42E-06,2.48E-05,5.85E-05,0.000120815,6.75E-07,6.01E-07,7.39E-07,1.00E-06,7.63E-07,5.54E-06,4.02E-06,2.55E-05,5.95E-05,0.000121578,3.037176004,2.743285355,5.111263987,5.889801314,7.31579624,109.1706962
NUDT12,1.633209823,7.48E-110,8.28E-05,6.92E-05,1.84E-06,8.21E-06,4.48E-05,4.99E-07,4.55E-07,5.70E-07,7.74E-07,5.66E-07,8.33E-05,6.96E-05,2.41E-06,8.99E-06,4.54E-05,7.381591192,7.258251992,2.077787909,3.536646705,6.325552239,109.1260984
IGFALS,4.057648247,1.06E-109,1.53E-07,6.08E-07,2.41E-06,3.58E-06,3.72E-06,4.39E-07,3.99E-07,5.02E-07,6.80E-07,4.99E-07,5.92E-07,1.01E-06,2.91E-06,4.26E-06,4.21E-06,0.43167015,1.336349926,2.536482836,2.64752354,3.077883242,108.9746941
