Genes,log2FoldChange,padj,D_Basal_EvsT,D_Basal_myoepithelial_EvsT,D_Luminal_1_1_EvsT,D_Luminal_1_2_EvsT,D_Luminal_2_EvsT,Phi_Basal_TvsE,Phi_Basal_myoepithelial_TvsE,Phi_Luminal_1_1_TvsE,Phi_Luminal_1_2_TvsE,Phi_Luminal_2_TvsE,Phi_Basal_EvsT,Phi_Basal_myoepithelial_EvsT,Phi_Luminal_1_1_EvsT,Phi_Luminal_1_2_EvsT,Phi_Luminal_2_EvsT,log2FC_Basal_EvsT,log2FC_Basal_myoepithelial_EvsT,log2FC_Luminal_1_1_EvsT,log2FC_Luminal_1_2_EvsT,log2FC_Luminal_2_EvsT,LOG(padj)
NFYA,-0.789991073,1.12E-49,-0.000014831,-0.000019045,-0.000031008,-0.000052466,-0.000033451,0.000116534,0.000127998,0.000209352,0.000404257,0.000147313,0.000101703,0.000108953,0.000178344,0.000351791,0.000113862,-0.196388702,-0.232415347,-0.23126802,-0.200554181,-0.371598404,48.95078198
LSR,-1.101769165,1.14E-49,6.99E-06,2.69E-06,-1.78E-06,4.73E-06,-0.000016023,0.000218006,0.000201433,0.000101701,0.00020826,0.000196439,0.000224994,0.000204126,9.99E-05,0.000212992,0.000180416,0.045518687,0.0191599,-0.025539018,0.032413473,-0.122754095,48.94309515
TMEM74,-2.876935186,1.21E-49,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,48.91721463
DCLRE1B,-0.732544406,1.31E-49,-1.04E-06,-7.21E-07,-2.06E-06,-3.66E-06,-2.85E-06,1.90E-06,1.54E-06,2.67E-06,5.80E-06,3.42E-06,8.60E-07,8.14E-07,6.19E-07,2.14E-06,5.74E-07,-1.143349955,-0.915120012,-2.110386972,-1.440787239,-2.577157686,48.8827287
MATN4,-4.187548543,1.42E-49,-1.18E-06,-1.04E-06,-1.09E-05,-1.09E-05,-3.46E-06,1.27E-06,1.11E-06,1.10E-05,1.11E-05,3.54E-06,9.02E-08,7.41E-08,1.03E-07,1.49E-07,8.08E-08,-3.815782488,-3.908158608,-6.736353204,-6.214258157,-5.452843336,48.84771166
SNRPA,-0.703271878,1.46E-49,-0.000089948,-0.000095737,-0.000063348,-1.41E-05,-1.74E-05,0.000319532,0.000272754,0.000212655,4.27E-05,0.000039537,0.000229584,0.000177017,0.000149307,2.86E-05,2.21E-05,-0.476938317,-0.623712437,-0.510232971,-0.579512077,-0.836997874,48.83564714
GCNT2,-1.663187448,1.61E-49,-3.29E-06,-2.74E-06,-0.000473246,-0.000114206,-0.000162277,3.52E-06,2.92E-06,0.000474453,0.000114741,0.000162824,2.28E-07,1.82E-07,1.21E-06,5.35E-07,5.47E-07,-3.94557484,-4.00544859,-8.618396905,-7.743685574,-8.216723619,48.79317412
FMO3,-2.76055451,1.85E-49,-5.63E-06,-8.57E-06,-2.80E-05,-9.47E-06,-6.64E-05,5.75E-06,8.67E-06,2.82E-05,9.67E-06,6.65E-05,1.23E-07,9.95E-08,1.37E-07,2.02E-07,1.06E-07,-5.552780561,-6.445688994,-7.688006533,-5.584692327,-9.295386741,48.73282827
FSD1,-3.823844183,2.09E-49,-6.94E-06,-1.82E-06,-5.99E-07,-1.42E-06,-1.22E-06,7.02E-06,1.88E-06,6.87E-07,1.55E-06,1.29E-06,7.73E-08,6.36E-08,8.84E-08,1.28E-07,6.93E-08,-6.503256273,-4.88878934,-2.958945592,-3.603156344,-4.218172207,48.67985371
MIIP,-0.961658101,2.13E-49,-3.41E-05,-5.86E-05,-2.51E-05,-5.79E-05,-3.30E-05,3.43E-05,5.88E-05,2.53E-05,5.84E-05,3.32E-05,2.47E-07,2.11E-07,2.68E-07,4.54E-07,1.92E-07,-7.121692091,-8.123811812,-6.560540831,-7.007793693,-7.437919266,48.6716204
